source_id,designation,ra,dec,l,b,ecl_lon,ecl_lat,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ra_error,dec_error,parallax_error,pmra_error,pmdec_error,ruwe,ag_gspphot,azero_gspphot,bp_g,bp_rp,distance_gspphot,ebpminrp_gspphot,g_rp,grvs_mag,grvs_mag_error,libname_gspphot,logg_gspphot,mh_gspphot,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_rp_mean_flux,phot_rp_mean_flux_error,radial_velocity,radial_velocity_error,ref_epoch,teff_gspphot,vbroad,vbroad_error
65198771785067776,Gaia DR3 65198771785067776,56.59214111266881,23.78184957930714,166.7001230529414,-23.865932847678724,59.67212277918736,3.7912689715400854,-0.07777821914642752,-0.9228128073216522,-0.29794047929485196,18.29235,18.90949,17.444574,0.17342022,0.119817756,0.20075187,0.2029576,0.14651383,1.0371903,0.0196,0.0267,0.6171398,1.4649162,756.1036,0.0106,0.8477764,,,PHOENIX,4.5044,-2.4605,372.9245938422487,19.808868,907.8338981845387,1.580097,834.3121716334917,16.21701,,,2016.0,4003.628,,
65198771785072768,Gaia DR3 65198771785072768,56.58735401595977,23.786466872100096,166.69318229045825,-23.865463558023585,59.668855460512326,3.796735217401721,1.433724460282887,-4.529707297058924,-6.170922995138245,19.675953,20.803455,18.388203,0.42499623,0.29950848,0.47886965,0.51560444,0.36873096,1.0197951,,,1.1275024,2.4152527,,,1.2877502,,,,,,65.16803957027733,13.264702,253.84309067628544,1.1529326,349.846441701077,11.6626835,,,2016.0,,,
65199940016173952,Gaia DR3 65199940016173952,56.64409324039687,23.78336212658529,166.73745575396256,-23.832819285700328,59.718939515338256,3.782317048321478,1.210451184574801,12.601051366129052,-21.652058930150186,18.648518,19.84135,17.443218,0.22155611,0.16212375,0.24617948,0.25503674,0.20093817,1.153964,0.8565,1.3073,1.192833,2.3981323,424.366,0.5183,1.2052994,,,MARCS,4.5788,-0.8797,158.07991123293888,11.060554,653.9432680301094,1.3673927,835.353986286255,13.489286,,,2016.0,3479.897,,
65201627939231744,Gaia DR3 65201627939231744,56.571555326175094,23.78941975837254,166.67931230564764,-23.873002372936714,59.65537046414182,3.8027902615319396,,,,20.958868,21.010664,20.216843,4.047302,5.4506755,,,,,,,0.05179596,0.79382133,,,0.7420254,,,,,,53.84572955198337,18.141851,77.87522664837357,1.7438736,64.92636418498577,18.90397,,,2016.0,,,
65199600713774336,Gaia DR3 65199600713774336,56.74939153545094,23.810124731266225,166.79556869466973,-23.748136109094627,59.81902551214981,3.787341977150768,1.5189493231263136,7.678232759603446,1.37547913795159,19.6427,20.39693,18.300215,0.41826352,0.3182727,0.49392408,0.5397412,0.38283467,1.040327,,,0.7542305,2.096716,,,1.3424854,,,,,,94.76425039757788,17.82121,261.73773404689916,1.0464152,379.37780155438213,11.503216,,,2016.0,,,
65199600715631360,Gaia DR3 65199600715631360,56.74869318339837,23.809572406105513,166.79545985227762,-23.748974769225008,59.8182796898631,3.786942662825391,,,,16.507261,17.236116,15.349482,1.3207922,0.99126637,,,,,,,0.72885513,1.8866348,,,1.1577797,,,,,,1741.6876747382723,11.012181,4699.400062498188,52.19515,5745.998832466008,24.228733,,,2016.0,,,
65199630778592896,Gaia DR3 65199630778592896,56.75666882624297,23.820637919154137,166.79319882509574,-23.735882725684867,59.82783924083577,3.7961459069616956,0.4422507693931835,0.45939459061878474,-3.1521348066828034,18.97319,19.536093,18.23811,0.29476446,0.20745349,0.34728292,0.35349977,0.24747908,1.0486176,0.0071,0.0092,0.56290245,1.2979832,1449.1665,0.0038,0.7350807,,,PHOENIX,4.9298,-1.6829,209.40134577535756,9.639528,484.92053035714304,1.2656213,401.7112597757618,9.961225,,,2016.0,4444.304,,
65199635075369600,Gaia DR3 65199635075369600,56.74591301841726,23.817762829362472,166.787375813496,-23.744639071654383,59.81758657655853,3.7954909944026243,-0.033435387248027956,-0.05814603435447499,-1.3373540472194516,18.848206,19.46542,18.071398,0.22451566,0.16031116,0.274519,0.2902367,0.19972637,1.0184424,0.0134,0.0179,0.6172142,1.394022,752.8712,0.0073,0.7768078,,,PHOENIX,5.0919,-2.0708,223.4853285419762,8.620718,544.0822566936478,1.2200468,468.3810879902508,9.850451,,,2016.0,4253.804,,
65199699498053376,Gaia DR3 65199699498053376,56.72631834363007,23.810610968148335,166.77817257516213,-23.76200417701906,59.79848832141182,3.792431946071675,0.3181076623778978,0.02600012197663959,0.037629457140862264,18.828493,19.259163,18.166767,0.19457161,0.14323883,0.2323386,0.25419518,0.1767806,0.9841378,0.0124,0.0157,0.43066978,1.0923958,1752.4569,0.0068,0.661726,,,MARCS,4.9175,-3.5185,270.24123318529763,10.913248,554.0506855338762,1.0691723,428.9939841371915,10.050385,,,2016.0,4788.0073,,
65199733867099264,Gaia DR3 65199733867099264,56.70751655145404,23.80274697319182,166.77007357503362,-23.779405741029652,59.77994204538622,3.7885217058027485,,,,20.776173,21.332514,19.776619,1.406412,1.4684026,,,,,,,0.5563412,1.5558949,,,0.9995537,,,,,,40.03240092971494,7.8770747,92.14633065025158,1.1757493,97.38912175733294,27.304478,,,2016.0,,,
65199738153162496,Gaia DR3 65199738153162496,56.699319247058476,23.804580598918275,166.76266680298795,-23.783103370154745,59.77300998262119,3.7919522363724467,0.6335791838617733,0.8429759771392272,-1.0668041832850044,20.386698,20.978914,19.542595,0.68931234,0.49216413,0.79592156,0.91886,0.5977114,1.0315474,,,0.5922165,1.4363194,,,0.84410286,,,,,,55.44355706178615,6.528241,131.9068814973592,0.874298,120.8148470044589,9.741827,,,2016.0,,,
65199738154587392,Gaia DR3 65199738154587392,56.697983175639784,23.80564940745987,166.760892724717,-23.78313692796283,59.77204905102877,3.7932626836455103,1.4304694675316139,9.496281334910607,8.276348079177502,17.590578,18.452656,16.453804,0.18677457,0.12507804,0.2149237,0.21084134,0.14762208,1.6129783,,,0.8620777,1.9988518,,,1.1367741,,,,,,568.008212272896,16.986414,1732.669550361608,7.420798,2077.956097629859,9.878689,,,2016.0,,,
65199802577004160,Gaia DR3 65199802577004160,56.73495331614527,23.817685653263194,166.77934045075128,-23.751453571036922,59.807764397794564,3.7976077760251363,2.829754114629521,7.541590365653178,-18.390634413168733,12.845772,13.281133,12.226738,0.019895472,0.013834595,0.023392025,0.023745,0.01622613,1.2259704,0.4766,0.5791,0.4353609,1.0543947,344.3945,0.2567,0.6190338,11.96112,0.02066732,MARCS,4.3505,-0.203,66521.74640189296,44.01267,136973.9543972199,32.48785,101967.81816918391,33.71921,18.224318,1.1696818,2016.0,5720.901,,
65199806872206208,Gaia DR3 65199806872206208,56.730310697366846,23.816575378477285,166.77672956170983,-23.7551361091632,59.803367497988845,3.797453158891354,-0.16497752543324734,2.655326503209904,1.8321613809330164,20.189568,20.689346,19.285439,0.5838426,0.41754007,0.7133301,0.852921,0.5244296,0.96451324,,,0.49977875,1.4039078,,,0.904129,,,,,,72.389900495963,5.801783,158.16848119162745,1.0163263,153.1026750289337,11.212051,,,2016.0,,,
