Difference,Parameter,Reference,
-0.946000063,Gm,Weinzirl et al. (2014),
-0.942800093,Gm,Weinzirl et al. (2014),
-0.937199965,Gm,Weinzirl et al. (2014),
-0.93000007,Gm,Weinzirl et al. (2014),
-0.93,Gm,Weinzirl et al. (2014),
-0.925200026,Gm,Weinzirl et al. (2014),
-0.9239998,Gm,Weinzirl et al. (2014),
-0.9209995,Gm,Weinzirl et al. (2014),
-0.9200001,Gm,Weinzirl et al. (2014),
-0.9158001,Gm,Weinzirl et al. (2014),
-0.91280004,Gm,Weinzirl et al. (2014),
-0.90999997,Gm,Weinzirl et al. (2014),
-0.90999985,Gm,Weinzirl et al. (2014),
-0.901199946,Gm,Weinzirl et al. (2014),
-0.895200067,Gm,Weinzirl et al. (2014),
-0.88999987,Gm,Weinzirl et al. (2014),
-0.889199971,Gm,Weinzirl et al. (2014),
-0.873999844,Gm,Weinzirl et al. (2014),
-0.873599787,Gm,Weinzirl et al. (2014),
-0.86960006,Gm,Weinzirl et al. (2014),
-0.868000064,Gm,Weinzirl et al. (2014),
-0.865599976,Gm,Weinzirl et al. (2014),
-0.8599999,Gm,Weinzirl et al. (2014),
-0.85099995,Gm,Weinzirl et al. (2014),
-0.8499999,Gm,Weinzirl et al. (2014),
-0.84000003,Gm,Weinzirl et al. (2014),
-0.839999952,Gm,Weinzirl et al. (2014),
-0.8399999,Gm,Weinzirl et al. (2014),
-0.837600174,Gm,Weinzirl et al. (2014),
-0.833999939,Gm,Weinzirl et al. (2014),
-0.8299999,Gm,Weinzirl et al. (2014),
-0.826,Gm,Weinzirl et al. (2014),
-0.825199862,Gm,Weinzirl et al. (2014),
-0.8200002,Gm,Weinzirl et al. (2014),
-0.79999995,Gm,Weinzirl et al. (2014),
-0.79999995,Gm,Weinzirl et al. (2014),
-0.794400046,Gm,Weinzirl et al. (2014),
-0.784799938,Gm,Weinzirl et al. (2014),
-0.78119998,Gm,Weinzirl et al. (2014),
-0.77400017,Gm,Weinzirl et al. (2014),
-0.771200004,Gm,Weinzirl et al. (2014),
-0.77119998,Gm,Weinzirl et al. (2014),
-0.770800011,Gm,Weinzirl et al. (2014),
-0.77,Gm,Weinzirl et al. (2014),
-0.765200047,Gm,Weinzirl et al. (2014),
-0.753999958,Gm,Weinzirl et al. (2014),
-0.75,Gm,Weinzirl et al. (2014),
-0.74,Gm,Weinzirl et al. (2014),
-0.739999957,Gm,Weinzirl et al. (2014),
-0.73820007,Gm,Weinzirl et al. (2014),
-0.737600014,Gm,Weinzirl et al. (2014),
-0.73,Gm,Weinzirl et al. (2014),
-0.726800015,Gm,Weinzirl et al. (2014),
-0.72160006,Gm,Weinzirl et al. (2014),
-0.7199993,Gm,Weinzirl et al. (2014),
-0.717999997,Gm,Weinzirl et al. (2014),
-0.715599983,Gm,Weinzirl et al. (2014),
-0.713200045,Gm,Weinzirl et al. (2014),
-0.712400007,Gm,Weinzirl et al. (2014),
-0.710399923,Gm,Weinzirl et al. (2014),
-0.70759994,Gm,Weinzirl et al. (2014),
-0.704799924,Gm,Weinzirl et al. (2014),
-0.69000006,Gm,Weinzirl et al. (2014),
-0.6899996,Gm,Weinzirl et al. (2014),
-0.684400077,Gre,Hoyos et al. (2011),
-0.6800003,Gre,Hoyos et al. (2011),
-0.67999995,Gre,Hoyos et al. (2011),
-0.670800052,Gre,Hoyos et al. (2011),
-0.670399928,Gre,Hoyos et al. (2011),
-0.6700001,Gre,Hoyos et al. (2011),
-0.6700001,Gre,Hoyos et al. (2011),
-0.6700001,Gre,Hoyos et al. (2011),
-0.6664001,Gre,Hoyos et al. (2011),
-0.652400012,Gre,Hoyos et al. (2011),
-0.650399923,Gre,Hoyos et al. (2011),
-0.65,Gre,Hoyos et al. (2011),
-0.6499999,Gre,Hoyos et al. (2011),
-0.645200028,Gre,Hoyos et al. (2011),
-0.644800005,Gre,Hoyos et al. (2011),
-0.641600084,Gre,Hoyos et al. (2011),
-0.64000005,Gre,Hoyos et al. (2011),
-0.64,Gre,Hoyos et al. (2011),
-0.63999987,Gre,Hoyos et al. (2011),
-0.63999987,Gre,Hoyos et al. (2011),
-0.63999987,Gre,Hoyos et al. (2011),
-0.6399994,Gre,Hoyos et al. (2011),
-0.63000005,Gre,Hoyos et al. (2011),
-0.6227999,Gre,Hoyos et al. (2011),
-0.60999966,Gre,Hoyos et al. (2011),
-0.60999966,Gre,Hoyos et al. (2011),
-0.6099987,Gre,Hoyos et al. (2011),
-0.608800073,Gre,Hoyos et al. (2011),
-0.605599978,Gre,Hoyos et al. (2011),
-0.602400041,Gre,Hoyos et al. (2011),
-0.6,Gre,Hoyos et al. (2011),
-0.59960011,Gre,Hoyos et al. (2011),
-0.599200034,Gre,Hoyos et al. (2011),
-0.594799962,Gre,Hoyos et al. (2011),
-0.59000015,Gre,Hoyos et al. (2011),
-0.58999825,Gre,Hoyos et al. (2011),
-0.589199939,Gre,Hoyos et al. (2011),
-0.58000016,Gre,Hoyos et al. (2011),
-0.58000004,Gre,Hoyos et al. (2011),
-0.5799999,Gre,Hoyos et al. (2011),
-0.5799999,Gre,Hoyos et al. (2011),
-0.57999897,Gre,Hoyos et al. (2011),
-0.579199979,Gre,Hoyos et al. (2011),
-0.570399928,Gre,Hoyos et al. (2011),
-0.567199991,Gre,Hoyos et al. (2011),
-0.562799983,Gre,Hoyos et al. (2011),
-0.56139994,Gre,Hoyos et al. (2011),
-0.56000006,Gre,Hoyos et al. (2011),
-0.560000019,Gre,Hoyos et al. (2011),
-0.55760005,Gre,Hoyos et al. (2011),
-0.555599995,Gre,Hoyos et al. (2011),
-0.554799976,Gre,Hoyos et al. (2011),
-0.54999995,Gre,Hoyos et al. (2011),
-0.545999961,Gre,Hoyos et al. (2011),
-0.545599918,Gre,Hoyos et al. (2011),
-0.54519999,Gre,Hoyos et al. (2011),
-0.53999996,Gre,Hoyos et al. (2011),
-0.53999996,Gre,Hoyos et al. (2011),
-0.539599992,Gre,Hoyos et al. (2011),
-0.533,Gre,Hoyos et al. (2011),
-0.53199996,Gre,Hoyos et al. (2011),Hoya
-0.531199965,Gre,Hoyos et al. (2011),Hoya
-0.5300007,Gre,Hoyos et al. (2011),Hoya
-0.5272,Gre,Hoyos et al. (2011),Hoya
-0.5236,Gre,Hoyos et al. (2011),Hoya
-0.52,Gre,Hoyos et al. (2011),Hoya
-0.51,Gre,Hoyos et al. (2011),Hoya
-0.505599954,Gre,Hoyos et al. (2011),Hoya
-0.500399981,Gre,Hoyos et al. (2011),Hoya
-0.50000006,Gre,Hoyos et al. (2011),Hoya
-0.5,Gre,Hoyos et al. (2011),Hoya
-0.5,Gre,Hoyos et al. (2011),Hoya
-0.499600058,Gre,Hoyos et al. (2011),Hoya
-0.497599928,Gre,Hoyos et al. (2011),Hoya
-0.490000029,Gre,Hoyos et al. (2011),Hoya
-0.48979998,Gre,Hoyos et al. (2011),Hoya
-0.486000028,Gre,Hoyos et al. (2011),Hoya
-0.48000145,Gre,Hoyos et al. (2011),Hoya
-0.48000002,Gre,Hoyos et al. (2011),Hoya
-0.478000035,Gre,Hoyos et al. (2011),Hoya
-0.4699998,Gre,Hoyos et al. (2011),Hoya
-0.467199999,Gre,Hoyos et al. (2011),Hoya
-0.466399965,Gre,Hoyos et al. (2011),Hoya
