Difference,Parameter,Reference
2.94,Bn,Weinzirl et al. (2014)
,Bn,Weinzirl et al. (2014)
-0.60000014,Bn,Weinzirl et al. (2014)
0.53999996,Bn,Weinzirl et al. (2014)
-1.0699999,Bn,Weinzirl et al. (2014)
0.8900001,Bn,Weinzirl et al. (2014)
0.81000006,Bn,Weinzirl et al. (2014)
1.0200001,Bn,Weinzirl et al. (2014)
1.1499999,Bn,Weinzirl et al. (2014)
0.15999997,Bn,Weinzirl et al. (2014)
-0.53,Bn,Weinzirl et al. (2014)
0.41999996,Bn,Weinzirl et al. (2014)
0.99,Bn,Weinzirl et al. (2014)
1.3399997,Bn,Weinzirl et al. (2014)
0.18999994,Bn,Weinzirl et al. (2014)
3.5700002,Bn,Weinzirl et al. (2014)
0.44999993,Bn,Weinzirl et al. (2014)
-0.49,Bn,Weinzirl et al. (2014)
0.8900001,Bn,Weinzirl et al. (2014)
1.33,Bn,Weinzirl et al. (2014)
-1.8000002,Bn,Weinzirl et al. (2014)
-2.33,Bn,Weinzirl et al. (2014)
-4.43,Bn,Weinzirl et al. (2014)
0,Bn,Weinzirl et al. (2014)
1.7500001,Bn,Weinzirl et al. (2014)
2.67,Bn,Weinzirl et al. (2014)
-0.07999992,Bn,Weinzirl et al. (2014)
-0.03999996,Bn,Weinzirl et al. (2014)
1.4099998,Bn,Weinzirl et al. (2014)
3.0300002,Bn,Weinzirl et al. (2014)
3.1699996,Bn,Weinzirl et al. (2014)
-0.53999996,Bn,Weinzirl et al. (2014)
0.64,Bn,Weinzirl et al. (2014)
-0.089999914,Bn,Weinzirl et al. (2014)
-0.48000002,Bn,Weinzirl et al. (2014)
1.6300001,Bn,Weinzirl et al. (2014)
